Node_ID,Candidate_ID,Distance_km,r_ij_Covered
17,4,3.14,1
17,5,5.06,0
17,6,5.34,0
17,7,5.54,0
17,8,7.96,0
17,9,3.28,1
17,10,2.11,1
17,11,2.76,1
18,0,0.65,1
18,1,3.16,1
18,2,5.77,0
18,3,1.99,1
18,4,3.92,0
18,5,1.51,1
18,6,3.26,1
18,7,2.45,1
18,8,5.91,0
18,9,3.3,1
18,10,4.66,0
18,11,5.28,0
19,0,5.56,0
19,1,2.39,1
19,2,5.05,0
19,3,5.84,0
19,4,6.13,0
19,5,4.69,0
19,6,2.23,1
19,7,3.02,1
19,8,1.93,1
19,9,5.08,0
19,10,4.37,0
19,11,3.34,1
20,0,7.33,0
20,1,4.25,0
20,2,5.68,0
20,3,7.46,0
20,4,7.4,0
20,5,6.38,0
20,6,4.01,0
20,7,4.83,0
20,8,2.89,1
20,9,6.44,0
20,10,5.33,0
20,11,4.02,0
21,0,1.99,1
21,1,4.37,0
21,2,3.9,0
21,3,0.65,1
21,4,1.37,1
21,5,1.66,1
21,6,3.9,0
21,7,3.38,1
21,8,7.14,0
21,9,1.32,1
21,10,3.03,1
21,11,4.2,0
22,0,3.1,1
22,1,0.29,1
22,2,5.1,0
22,3,3.76,0
22,4,4.8,0
22,5,2.51,1
22,6,0.88,1
22,7,0.75,1
22,8,3.13,1
22,9,3.74,0
22,10,4.03,0
22,11,3.83,0
23,0,4.22,0
23,1,4.77,0
23,2,1.28,1
23,3,3.16,1
23,4,1.58,1
23,5,3.26,1
23,6,3.96,0
23,7,3.98,0
23,8,6.95,0
23,9,1.47,1
23,10,0.92,1
23,11,2.27,1
24,0,1.17,1
24,1,3.03,1
24,2,4.15,0
24,3,1.0,1
24,4,2.43,1
24,5,0.27,1
24,6,2.68,1
24,7,2.05,1
24,8,5.85,0
24,9,1.67,1
24,10,3.07,1
24,11,3.86,0
25,0,1.58,1
25,1,2.33,1
25,2,5.94,0
25,3,2.8,1
25,4,4.55,0
25,5,1.88,1
25,6,2.66,1
25,7,1.87,1
25,8,4.95,0
25,9,3.73,0
25,10,4.8,0
25,11,5.14,0
26,0,5.8,0
26,1,2.41,1
26,2,6.15,0
26,3,6.32,0
26,4,6.92,0
26,5,5.1,0
26,6,2.67,1
26,7,3.3,1
26,8,0.76,1
26,9,5.85,0
26,10,5.38,0
26,11,4.46,0
27,0,3.5,1
27,1,4.28,0
27,2,1.91,1
27,3,2.46,1
27,4,1.2,1
27,5,2.55,1
27,6,3.51,0
27,7,3.41,1
27,8,6.64,0
27,9,0.75,1
27,10,1.11,1
27,11,2.44,1
